"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"UniClust90_41579.JJMMCFOM_03094","treatment_group","ApcMUT_HpWT",-3.19820258601609,0.655788085060132,0.00180002158490401,"treatment_groupApcMUT_HpWT",0.133201597282896,9,4
"UniClust90_21441.CAOCNFHN_00906","treatment_group","ApcMUT_HpWT",-2.91962726045519,0.745332867935771,0.00576967199730153,"treatment_groupApcMUT_HpWT",0.159783120110157,9,9
"UniClust90_40285.KOOCCCBI_00608","treatment_group","ApcMUT_HpWT",-2.44338610232323,0.699493103499474,0.0100866629583335,"treatment_groupApcMUT_HpWT",0.159783120110157,9,9
"UniRef90_UPI000FFED5DC","treatment_group","ApcMUT_HpWT",-2.401041926824,0.697143167263679,0.0107768934230737,"treatment_groupApcMUT_HpWT",0.159783120110157,9,9
"UniClust90_40285.EPEEOBDK_02476","treatment_group","ApcMUT_HpWT",-2.47856098504766,0.752499616318749,0.0132336653816132,"treatment_groupApcMUT_HpWT",0.159783120110157,9,9
"UniClust90_41580.LHONBIMK_03156","treatment_group","ApcMUT_HpWT",4.06608160045542,1.26821228526999,0.0149376455307518,"treatment_groupApcMUT_HpWT",0.159783120110157,9,5
"UniClust90_41580.NHNMHOMN_02733","treatment_group","ApcMUT_HpWT",4.03224483362409,1.26130078183761,0.0151309644551363,"treatment_groupApcMUT_HpWT",0.159783120110157,9,5
"UniClust90_40285.IAHIHCDK_00580","treatment_group","ApcMUT_HpWT",-2.36470021703071,0.762315368109196,0.0172738508227197,"treatment_groupApcMUT_HpWT",0.159783120110157,9,9
"UniClust90_40285.LMMLBGFG_02712","treatment_group","ApcMUT_HpWT",-2.25711546020955,0.801834726928608,0.0259611859612085,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A3N2LUA1","treatment_group","ApcMUT_HpWT",-2.1783012717202,0.798540656145325,0.0294298160865497,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A1B1SCZ0","treatment_group","ApcMUT_HpWT",-2.15212081961805,0.822073736302687,0.0345135794140558,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A0E9DCK8","treatment_group","ApcMUT_HpWT",-3.90637487564209,1.52209838465446,0.0372004849648605,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A1X6RME2","treatment_group","ApcMUT_HpWT",-3.68505769911757,1.44320219126739,0.0379155589189596,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A1B1S6K4","treatment_group","ApcMUT_HpWT",-2.26413038949878,0.910708413703121,0.0418335294576758,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_UPI0010939CFD","treatment_group","ApcMUT_HpWT",-2.90487406484038,1.18411391166449,0.043900472175521,"treatment_groupApcMUT_HpWT",0.213068888273938,9,8
"UniClust90_40368.CBOEGLAA_01739","treatment_group","ApcMUT_HpWT",-2.22309832033213,0.918505374693299,0.0460689488159866,"treatment_groupApcMUT_HpWT",0.213068888273938,9,9
"UniRef90_A0A3N2N6L5","treatment_group","ApcMUT_HpWT",-2.12582309197754,0.929143998187793,0.0559774687569842,"treatment_groupApcMUT_HpWT",0.230605138749287,9,9
